Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C2,C4",C_0603_1608Metric,C14663,3
1uF,C6,C_0603_1608Metric,C15849,1
10uF,"C3,C5,C7",C_0805_2012Metric,C15850,3
5.1k,"R4,R5",R_0603_1608Metric,C23186,2
100k,R1,R_0603_1608Metric,C25803,1
10k,"R2,R3",R_0603_1608Metric,C25804,2
CH340N,U1,SOP-8_3.9x4.9mm_P1.27mm,C2977777,1
USB_C_Receptacle_USB2.0,J10,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C2988369,1
FLASH_SW,SW1,SW_Push_1P1T_XKB_TS-1187A,C318884,1
ICS-43434,MK1,InvenSense_ICS-43434-6_3.5x2.65mm,C5656610,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,1
ESP32-WROOM-32,U3,ESP32-WROOM-32,C701341,1
100uF,C8,CP_Elec_5x5.4,C96182,1
